Coin,,24h Percentage Change,Ask Price,Volume,
SUSHIUSDT,USDT,-3.79%,0.5793 USDT,21004878,SUSHIUSDTUSDT
INJUSDT,USDT,-4.64%,6.702000 USDT,77422866,INJUSDTUSDT
BNTUSDT,USDT,0.31%,0.4180000 USDT,17729537,BNTUSDTUSDT
RDNTUSDT,USDT,-1.41%,0.2303000 USDT,5950086,RDNTUSDTUSDT
ZRXUSDT,USDT,-1.94%,0.1665 USDT,4403956,ZRXUSDTUSDT
HIGHUSDT,USDT,-3.09%,1.065000 USDT,14339106,HIGHUSDTUSDT
WAVESUSDT,USDT,-1.50%,1.4922 USDT,20403508,WAVESUSDTUSDT
SPELLUSDT,USDT,-2.40%,0.0003857 USDT,2280148,SPELLUSDTUSDT
BNBUSDT,USDT,0.04%,217.770 USDT,146659898,BNBUSDTUSDT
XTZUSDT,USDT,-2.13%,0.690 USDT,15134100,XTZUSDTUSDT
DARUSDT,USDT,-2.09%,0.0795 USDT,5006332,DARUSDTUSDT
JOEUSDT,USDT,-1.98%,0.2280000 USDT,4001979,JOEUSDTUSDT
PENDLEUSDT,USDT,-5.63%,0.5851000 USDT,9746853,PENDLEUSDTUSDT
XMRUSDT,USDT,-1.26%,143.76 USDT,32144195,XMRUSDTUSDT
ETCUSDT,USDT,-1.43%,15.673 USDT,49706295,ETCUSDTUSDT
ALICEUSDT,USDT,-0.91%,0.759 USDT,12026351,ALICEUSDTUSDT
HOOKUSDT,USDT,-2.49%,0.764500 USDT,23918650,HOOKUSDTUSDT
REEFUSDT,USDT,-0.45%,0.001325 USDT,12538067,REEFUSDTUSDT
BATUSDT,USDT,-2.26%,0.1686 USDT,4846758,BATUSDTUSDT
DOGEUSDT,USDT,-0.26%,0.062650 USDT,147256167,DOGEUSDTUSDT
TRXUSDT,USDT,-1.90%,0.07597 USDT,37160565,TRXUSDTUSDT
STORJUSDT,USDT,-1.31%,0.2268 USDT,6233088,STORJUSDTUSDT
SNXUSDT,USDT,-4.17%,2.043 USDT,25698304,SNXUSDTUSDT
XLMUSDT,USDT,-2.82%,0.11714 USDT,44188719,XLMUSDTUSDT
IOTXUSDT,USDT,-1.75%,0.01349 USDT,3468219,IOTXUSDTUSDT
UMAUSDT,USDT,-0.89%,1.340000 USDT,2205743,UMAUSDTUSDT
DASHUSDT,USDT,-2.29%,25.55 USDT,5584108,DASHUSDTUSDT
KAVAUSDT,USDT,0.09%,0.6800 USDT,35592562,KAVAUSDTUSDT
OXTUSDT,USDT,-9.34%,0.0560300 USDT,19168828,OXTUSDTUSDT
APEUSDT,USDT,-1.05%,1.4090 USDT,214495884,APEUSDTUSDT
RUNEUSDT,USDT,0.62%,1.4580 USDT,113057445,RUNEUSDTUSDT
BNXUSDT,USDT,0.52%,0.193000 USDT,4248655,BNXUSDTUSDT
BLUEBIRDUSDT,USDT,-0.33%,5.98700 USDT,1715411,BLUEBIRDUSDTUSDT
OPUSDT,USDT,-0.93%,1.4316000 USDT,171123232,OPUSDTUSDT
KEYUSDT,USDT,-1.50%,0.0042540 USDT,3623930,KEYUSDTUSDT
DGBUSDT,USDT,-0.43%,0.00687 USDT,3482943,DGBUSDTUSDT
FOOTBALLUSDT,USDT,0.00%,393.47000 USDT,4677686,FOOTBALLUSDTUSDT
SKLUSDT,USDT,-10.08%,0.01998 USDT,7174983,SKLUSDTUSDT
TOMOUSDT,USDT,3.39%,1.0755 USDT,263701569,TOMOUSDTUSDT
MTLUSDT,USDT,-0.66%,1.1247 USDT,12759764,MTLUSDTUSDT
LTCUSDT,USDT,-0.29%,64.82 USDT,147018885,LTCUSDTUSDT
KSMUSDT,USDT,-1.90%,19.070 USDT,6298747,KSMUSDTUSDT
MANAUSDT,USDT,-2.23%,0.2933 USDT,27360596,MANAUSDTUSDT
TRBUSDT,USDT,2.85%,13.906 USDT,433115238,TRBUSDTUSDT
FLOWUSDT,USDT,-2.00%,0.442 USDT,14303637,FLOWUSDTUSDT
CHRUSDT,USDT,-2.21%,0.0883 USDT,8496289,CHRUSDTUSDT
GALUSDT,USDT,3.27%,1.18750 USDT,95373052,GALUSDTUSDT
USDCUSDT,USDT,-0.01%,1.0001100 USDT,2339394,USDCUSDTUSDT
RNDRUSDT,USDT,-2.05%,1.368100 USDT,16605521,RNDRUSDTUSDT
OGNUSDT,USDT,-2.71%,0.0718 USDT,16400201,OGNUSDTUSDT
STMXUSDT,USDT,-5.61%,0.00488 USDT,23870466,STMXUSDTUSDT
BLURUSDT,USDT,-9.65%,0.2023000 USDT,89999331,BLURUSDTUSDT
KNCUSDT,USDT,-1.21%,0.50810 USDT,16754109,KNCUSDTUSDT
